maxtempC,mintempC,uvIndex,DewPointC,cloudcover,humidity,precipMM,visibility,windspeedKmph,location,year,month,day,hour,tempC
16.0,13.0,4.0,5.0,0.0,53.0,0.0,10.0,12.0,94.0,2018.0,11.0,3,19.0,15.0
16.0,13.0,4.0,5.0,0.0,54.0,0.0,10.0,14.0,94.0,2018.0,11.0,3,20.0,14.0
16.0,13.0,4.0,4.0,0.0,55.0,0.0,10.0,15.0,94.0,2018.0,11.0,3,21.0,13.0
16.0,13.0,4.0,5.0,0.0,56.0,0.0,10.0,15.0,94.0,2018.0,11.0,3,22.0,13.0
16.0,13.0,4.0,5.0,0.0,57.0,0.0,10.0,16.0,94.0,2018.0,11.0,3,23.0,13.0
20.0,17.0,4.0,14.0,100.0,79.0,0.0,10.0,25.0,94.0,2018.0,11.0,5,0.0,18.0
20.0,17.0,4.0,14.0,99.0,81.0,0.0,10.0,26.0,94.0,2018.0,11.0,5,1.0,18.0
20.0,17.0,4.0,15.0,98.0,83.0,0.4,9.0,27.0,94.0,2018.0,11.0,5,2.0,18.0
20.0,17.0,4.0,15.0,97.0,85.0,0.5,9.0,28.0,94.0,2018.0,11.0,5,3.0,18.0
20.0,17.0,4.0,16.0,98.0,87.0,0.2,9.0,29.0,94.0,2018.0,11.0,5,4.0,18.0
20.0,17.0,4.0,17.0,99.0,89.0,0.0,10.0,29.0,94.0,2018.0,11.0,5,5.0,18.0
20.0,17.0,4.0,17.0,100.0,91.0,0.0,10.0,30.0,94.0,2018.0,11.0,5,6.0,19.0
20.0,17.0,4.0,18.0,98.0,92.0,0.0,10.0,27.0,94.0,2018.0,11.0,5,7.0,19.0
20.0,17.0,4.0,18.0,96.0,93.0,0.7,10.0,24.0,94.0,2018.0,11.0,5,8.0,19.0
20.0,17.0,4.0,18.0,94.0,94.0,1.0,10.0,20.0,94.0,2018.0,11.0,5,9.0,19.0
20.0,17.0,4.0,18.0,78.0,92.0,0.5,10.0,18.0,94.0,2018.0,11.0,5,10.0,20.0
20.0,17.0,4.0,18.0,61.0,90.0,0.0,10.0,16.0,94.0,2018.0,11.0,5,11.0,20.0
20.0,17.0,4.0,18.0,45.0,88.0,0.0,10.0,14.0,94.0,2018.0,11.0,5,12.0,20.0
20.0,17.0,4.0,18.0,43.0,87.0,0.0,10.0,13.0,94.0,2018.0,11.0,5,13.0,20.0
20.0,17.0,4.0,18.0,41.0,87.0,0.0,10.0,12.0,94.0,2018.0,11.0,5,14.0,20.0
20.0,17.0,4.0,17.0,40.0,86.0,0.0,10.0,10.0,94.0,2018.0,11.0,5,15.0,20.0
20.0,17.0,4.0,17.0,37.0,88.0,0.0,10.0,9.0,94.0,2018.0,11.0,5,16.0,19.0
20.0,17.0,4.0,17.0,35.0,90.0,0.0,10.0,8.0,94.0,2018.0,11.0,5,17.0,19.0
20.0,17.0,4.0,17.0,33.0,91.0,0.0,10.0,7.0,94.0,2018.0,11.0,5,18.0,18.0
20.0,17.0,4.0,16.0,39.0,91.0,0.0,10.0,7.0,94.0,2018.0,11.0,5,19.0,18.0
20.0,17.0,4.0,16.0,44.0,91.0,0.0,10.0,7.0,94.0,2018.0,11.0,5,20.0,17.0
20.0,17.0,4.0,15.0,50.0,91.0,0.0,10.0,7.0,94.0,2018.0,11.0,5,21.0,17.0
20.0,17.0,4.0,15.0,52.0,92.0,0.0,10.0,5.0,94.0,2018.0,11.0,5,22.0,17.0
20.0,17.0,4.0,15.0,55.0,92.0,0.0,10.0,3.0,94.0,2018.0,11.0,5,23.0,17.0
25.0,16.0,6.0,15.0,57.0,93.0,0.0,10.0,1.0,94.0,2018.0,11.0,6,0.0,16.0
25.0,16.0,6.0,15.0,66.0,93.0,0.0,10.0,3.0,94.0,2018.0,11.0,6,1.0,16.0
25.0,16.0,6.0,15.0,75.0,92.0,0.0,10.0,6.0,94.0,2018.0,11.0,6,2.0,16.0
25.0,16.0,6.0,15.0,83.0,92.0,0.0,10.0,8.0,94.0,2018.0,11.0,6,3.0,16.0
25.0,16.0,6.0,16.0,85.0,93.0,0.0,10.0,12.0,94.0,2018.0,11.0,6,4.0,17.0
25.0,16.0,6.0,17.0,87.0,95.0,0.0,10.0,16.0,94.0,2018.0,11.0,6,5.0,17.0
25.0,16.0,6.0,18.0,89.0,97.0,0.0,10.0,19.0,94.0,2018.0,11.0,6,6.0,18.0
25.0,16.0,6.0,18.0,68.0,91.0,0.0,10.0,22.0,94.0,2018.0,11.0,6,7.0,20.0
25.0,16.0,6.0,19.0,47.0,85.0,0.1,9.0,25.0,94.0,2018.0,11.0,6,8.0,21.0
25.0,16.0,6.0,19.0,26.0,79.0,0.1,9.0,28.0,94.0,2018.0,11.0,6,9.0,23.0
25.0,16.0,6.0,19.0,38.0,76.0,0.0,9.0,27.0,94.0,2018.0,11.0,6,10.0,24.0
25.0,16.0,6.0,19.0,50.0,72.0,0.0,10.0,25.0,94.0,2018.0,11.0,6,11.0,24.0
25.0,16.0,6.0,19.0,63.0,68.0,0.0,10.0,23.0,94.0,2018.0,11.0,6,12.0,25.0
25.0,16.0,6.0,19.0,66.0,73.0,0.0,9.0,23.0,94.0,2018.0,11.0,6,13.0,24.0
25.0,16.0,6.0,19.0,70.0,77.0,1.4,8.0,23.0,94.0,2018.0,11.0,6,14.0,23.0
25.0,16.0,6.0,19.0,74.0,82.0,1.8,7.0,23.0,94.0,2018.0,11.0,6,15.0,23.0
25.0,16.0,6.0,19.0,59.0,84.0,0.9,7.0,17.0,94.0,2018.0,11.0,6,16.0,22.0
25.0,16.0,6.0,19.0,44.0,87.0,1.4,7.0,12.0,94.0,2018.0,11.0,6,17.0,21.0
25.0,16.0,6.0,19.0,29.0,89.0,1.9,7.0,6.0,94.0,2018.0,11.0,6,18.0,21.0
25.0,16.0,6.0,17.0,23.0,85.0,1.0,8.0,9.0,94.0,2018.0,11.0,6,19.0,20.0
25.0,16.0,6.0,16.0,17.0,82.0,0.0,9.0,12.0,94.0,2018.0,11.0,6,20.0,19.0
25.0,16.0,6.0,14.0,12.0,78.0,0.0,10.0,15.0,94.0,2018.0,11.0,6,21.0,18.0
25.0,16.0,6.0,14.0,8.0,77.0,0.0,10.0,15.0,94.0,2018.0,11.0,6,22.0,18.0
25.0,16.0,6.0,13.0,5.0,77.0,0.0,10.0,14.0,94.0,2018.0,11.0,6,23.0,17.0
21.0,15.0,5.0,12.0,2.0,77.0,0.0,10.0,13.0,94.0,2018.0,11.0,7,0.0,16.0
21.0,15.0,5.0,12.0,1.0,77.0,0.0,10.0,13.0,94.0,2018.0,11.0,7,1.0,16.0
21.0,15.0,5.0,12.0,1.0,77.0,0.0,10.0,14.0,94.0,2018.0,11.0,7,2.0,16.0
21.0,15.0,5.0,11.0,0.0,77.0,0.0,10.0,14.0,94.0,2018.0,11.0,7,3.0,15.0
21.0,15.0,5.0,11.0,0.0,76.0,0.0,10.0,14.0,94.0,2018.0,11.0,7,4.0,15.0
21.0,15.0,5.0,10.0,1.0,74.0,0.0,10.0,14.0,94.0,2018.0,11.0,7,5.0,15.0
21.0,15.0,5.0,10.0,1.0,73.0,0.0,10.0,14.0,94.0,2018.0,11.0,7,6.0,15.0
21.0,15.0,5.0,10.0,2.0,69.0,0.0,10.0,12.0,94.0,2018.0,11.0,7,7.0,16.0
21.0,15.0,5.0,11.0,3.0,65.0,0.0,10.0,11.0,94.0,2018.0,11.0,7,8.0,17.0
21.0,15.0,5.0,11.0,5.0,61.0,0.0,10.0,9.0,94.0,2018.0,11.0,7,9.0,19.0
21.0,15.0,5.0,11.0,5.0,59.0,0.0,10.0,9.0,94.0,2018.0,11.0,7,10.0,19.0
21.0,15.0,5.0,11.0,5.0,56.0,0.0,10.0,10.0,94.0,2018.0,11.0,7,11.0,20.0
21.0,15.0,5.0,11.0,6.0,54.0,0.0,10.0,10.0,94.0,2018.0,11.0,7,12.0,21.0
21.0,15.0,5.0,11.0,5.0,56.0,0.0,10.0,9.0,94.0,2018.0,11.0,7,13.0,21.0
21.0,15.0,5.0,12.0,5.0,58.0,0.0,10.0,8.0,94.0,2018.0,11.0,7,14.0,21.0
21.0,15.0,5.0,12.0,5.0,60.0,0.0,10.0,7.0,94.0,2018.0,11.0,7,15.0,21.0
21.0,15.0,5.0,12.0,5.0,62.0,0.0,10.0,8.0,94.0,2018.0,11.0,7,16.0,20.0
21.0,15.0,5.0,12.0,5.0,65.0,0.0,10.0,8.0,94.0,2018.0,11.0,7,17.0,19.0
21.0,15.0,5.0,12.0,5.0,68.0,0.0,10.0,9.0,94.0,2018.0,11.0,7,18.0,18.0
21.0,15.0,5.0,12.0,5.0,70.0,0.0,10.0,7.0,94.0,2018.0,11.0,7,19.0,18.0
21.0,15.0,5.0,13.0,5.0,73.0,0.0,10.0,6.0,94.0,2018.0,11.0,7,20.0,18.0
21.0,15.0,5.0,13.0,6.0,75.0,0.0,10.0,4.0,94.0,2018.0,11.0,7,21.0,17.0
21.0,15.0,5.0,13.0,19.0,75.0,0.0,10.0,6.0,94.0,2018.0,11.0,7,22.0,17.0
21.0,15.0,5.0,12.0,32.0,75.0,0.0,10.0,8.0,94.0,2018.0,11.0,7,23.0,17.0
16.0,13.0,5.0,12.0,46.0,75.0,0.0,10.0,9.0,94.0,2018.0,11.0,8,0.0,16.0
16.0,13.0,5.0,12.0,47.0,74.0,0.0,8.0,11.0,94.0,2018.0,11.0,8,1.0,17.0
16.0,13.0,5.0,12.0,48.0,73.0,0.1,7.0,13.0,94.0,2018.0,11.0,8,2.0,17.0
16.0,13.0,5.0,12.0,50.0,73.0,0.1,5.0,14.0,94.0,2018.0,11.0,8,3.0,17.0
16.0,13.0,5.0,12.0,50.0,73.0,0.0,5.0,17.0,94.0,2018.0,11.0,8,4.0,17.0
16.0,13.0,5.0,11.0,51.0,72.0,0.2,5.0,19.0,94.0,2018.0,11.0,8,5.0,16.0
16.0,13.0,5.0,11.0,52.0,72.0,0.2,5.0,22.0,94.0,2018.0,11.0,8,6.0,16.0
16.0,13.0,5.0,10.0,40.0,69.0,0.1,7.0,24.0,94.0,2018.0,11.0,8,7.0,16.0
16.0,13.0,5.0,10.0,28.0,65.0,0.0,8.0,26.0,94.0,2018.0,11.0,8,8.0,16.0
16.0,13.0,5.0,9.0,16.0,62.0,0.0,10.0,28.0,94.0,2018.0,11.0,8,9.0,16.0
16.0,13.0,5.0,9.0,14.0,62.0,0.0,10.0,27.0,94.0,2018.0,11.0,8,10.0,16.0
16.0,13.0,5.0,9.0,12.0,62.0,0.0,10.0,25.0,94.0,2018.0,11.0,8,11.0,16.0
16.0,13.0,5.0,9.0,9.0,62.0,0.0,10.0,23.0,94.0,2018.0,11.0,8,12.0,16.0
16.0,13.0,5.0,9.0,8.0,62.0,0.0,10.0,23.0,94.0,2018.0,11.0,8,13.0,16.0
16.0,13.0,5.0,8.0,8.0,63.0,0.0,10.0,24.0,94.0,2018.0,11.0,8,14.0,15.0
16.0,13.0,5.0,8.0,7.0,64.0,0.0,10.0,24.0,94.0,2018.0,11.0,8,15.0,15.0
16.0,13.0,5.0,8.0,7.0,64.0,0.0,10.0,22.0,94.0,2018.0,11.0,8,16.0,14.0
16.0,13.0,5.0,7.0,7.0,64.0,0.0,10.0,20.0,94.0,2018.0,11.0,8,17.0,14.0
16.0,13.0,5.0,7.0,8.0,65.0,0.0,10.0,18.0,94.0,2018.0,11.0,8,18.0,14.0
16.0,13.0,5.0,7.0,12.0,64.0,0.0,10.0,19.0,94.0,2018.0,11.0,8,19.0,14.0
16.0,13.0,5.0,7.0,16.0,64.0,0.0,10.0,21.0,94.0,2018.0,11.0,8,20.0,13.0
16.0,13.0,5.0,7.0,20.0,64.0,0.0,10.0,23.0,94.0,2018.0,11.0,8,21.0,13.0
16.0,13.0,5.0,7.0,29.0,64.0,0.0,10.0,22.0,94.0,2018.0,11.0,8,22.0,13.0
16.0,13.0,5.0,7.0,37.0,63.0,0.0,10.0,21.0,94.0,2018.0,11.0,8,23.0,14.0
18.0,14.0,5.0,7.0,46.0,63.0,0.0,10.0,20.0,94.0,2018.0,11.0,9,0.0,14.0
18.0,14.0,5.0,8.0,47.0,66.0,0.0,10.0,21.0,94.0,2018.0,11.0,9,1.0,14.0
18.0,14.0,5.0,8.0,48.0,68.0,0.0,10.0,22.0,94.0,2018.0,11.0,9,2.0,14.0
18.0,14.0,5.0,9.0,49.0,70.0,0.0,10.0,23.0,94.0,2018.0,11.0,9,3.0,14.0
18.0,14.0,5.0,9.0,66.0,71.0,0.0,10.0,23.0,94.0,2018.0,11.0,9,4.0,15.0
18.0,14.0,5.0,10.0,83.0,72.0,0.0,10.0,23.0,94.0,2018.0,11.0,9,5.0,15.0
18.0,14.0,5.0,10.0,100.0,74.0,0.0,10.0,23.0,94.0,2018.0,11.0,9,6.0,15.0
18.0,14.0,5.0,11.0,100.0,77.0,0.0,7.0,23.0,94.0,2018.0,11.0,9,7.0,15.0
18.0,14.0,5.0,12.0,100.0,81.0,0.2,5.0,22.0,94.0,2018.0,11.0,9,8.0,16.0
18.0,14.0,5.0,13.0,100.0,84.0,0.2,2.0,22.0,94.0,2018.0,11.0,9,9.0,16.0
18.0,14.0,5.0,14.0,100.0,85.0,0.1,5.0,22.0,94.0,2018.0,11.0,9,10.0,17.0
18.0,14.0,5.0,15.0,100.0,85.0,0.0,7.0,22.0,94.0,2018.0,11.0,9,11.0,18.0
18.0,14.0,5.0,16.0,100.0,86.0,0.0,10.0,22.0,94.0,2018.0,11.0,9,12.0,18.0
18.0,14.0,5.0,16.0,94.0,89.0,0.0,9.0,19.0,94.0,2018.0,11.0,9,13.0,18.0
18.0,14.0,5.0,17.0,87.0,92.0,1.4,8.0,17.0,94.0,2018.0,11.0,9,14.0,18.0
18.0,14.0,5.0,17.0,81.0,95.0,1.8,7.0,14.0,94.0,2018.0,11.0,9,15.0,18.0
18.0,14.0,5.0,17.0,79.0,95.0,0.9,7.0,15.0,94.0,2018.0,11.0,9,16.0,18.0
18.0,14.0,5.0,16.0,77.0,94.0,1.0,7.0,15.0,94.0,2018.0,11.0,9,17.0,17.0
18.0,14.0,5.0,15.0,76.0,94.0,1.4,7.0,15.0,94.0,2018.0,11.0,9,18.0,16.0
18.0,14.0,5.0,14.0,76.0,92.0,0.7,8.0,17.0,94.0,2018.0,11.0,9,19.0,15.0
18.0,14.0,5.0,13.0,76.0,90.0,0.3,9.0,19.0,94.0,2018.0,11.0,9,20.0,15.0
18.0,14.0,5.0,12.0,77.0,89.0,0.4,10.0,21.0,94.0,2018.0,11.0,9,21.0,14.0
18.0,14.0,5.0,11.0,85.0,87.0,0.2,10.0,20.0,94.0,2018.0,11.0,9,22.0,13.0
18.0,14.0,5.0,11.0,92.0,86.0,0.3,10.0,19.0,94.0,2018.0,11.0,9,23.0,13.0
12.0,7.0,3.0,10.0,100.0,85.0,0.4,10.0,18.0,94.0,2018.0,11.0,10,0.0,13.0
12.0,7.0,3.0,10.0,100.0,85.0,0.2,7.0,19.0,94.0,2018.0,11.0,10,1.0,12.0
12.0,7.0,3.0,9.0,100.0,85.0,0.2,5.0,20.0,94.0,2018.0,11.0,10,2.0,12.0
12.0,7.0,3.0,9.0,100.0,85.0,0.2,2.0,21.0,94.0,2018.0,11.0,10,3.0,12.0
12.0,7.0,3.0,9.0,100.0,83.0,0.1,4.0,19.0,94.0,2018.0,11.0,10,4.0,11.0
12.0,7.0,3.0,8.0,100.0,82.0,0.3,7.0,18.0,94.0,2018.0,11.0,10,5.0,11.0
12.0,7.0,3.0,8.0,100.0,80.0,0.4,9.0,17.0,94.0,2018.0,11.0,10,6.0,11.0
12.0,7.0,3.0,7.0,81.0,77.0,0.2,9.0,20.0,94.0,2018.0,11.0,10,7.0,11.0
12.0,7.0,3.0,7.0,61.0,73.0,0.0,10.0,23.0,94.0,2018.0,11.0,10,8.0,11.0
12.0,7.0,3.0,6.0,42.0,70.0,0.0,10.0,26.0,94.0,2018.0,11.0,10,9.0,12.0
12.0,7.0,3.0,5.0,30.0,66.0,0.0,10.0,24.0,94.0,2018.0,11.0,10,10.0,11.0
12.0,7.0,3.0,4.0,19.0,61.0,0.0,10.0,22.0,94.0,2018.0,11.0,10,11.0,11.0
12.0,7.0,3.0,3.0,7.0,57.0,0.0,10.0,20.0,94.0,2018.0,11.0,10,12.0,11.0
12.0,7.0,3.0,2.0,5.0,54.0,0.0,10.0,23.0,94.0,2018.0,11.0,10,13.0,11.0
12.0,7.0,3.0,1.0,2.0,52.0,0.0,10.0,25.0,94.0,2018.0,11.0,10,14.0,11.0
12.0,7.0,3.0,0.0,0.0,50.0,0.0,10.0,28.0,94.0,2018.0,11.0,10,15.0,10.0
12.0,7.0,3.0,-1.0,0.0,49.0,0.0,10.0,26.0,94.0,2018.0,11.0,10,16.0,9.0
12.0,7.0,3.0,-2.0,0.0,48.0,0.0,10.0,24.0,94.0,2018.0,11.0,10,17.0,8.0
12.0,7.0,3.0,-3.0,0.0,47.0,0.0,10.0,22.0,94.0,2018.0,11.0,10,18.0,7.0
12.0,7.0,3.0,-3.0,0.0,47.0,0.0,10.0,22.0,94.0,2018.0,11.0,10,19.0,7.0
12.0,7.0,3.0,-4.0,0.0,47.0,0.0,10.0,22.0,94.0,2018.0,11.0,10,20.0,7.0
12.0,7.0,3.0,-4.0,0.0,47.0,0.0,10.0,23.0,94.0,2018.0,11.0,10,21.0,7.0
12.0,7.0,3.0,-4.0,0.0,50.0,0.0,10.0,23.0,94.0,2018.0,11.0,10,22.0,6.0
12.0,7.0,3.0,-3.0,0.0,53.0,0.0,10.0,24.0,94.0,2018.0,11.0,10,23.0,6.0
11.0,5.0,3.0,-3.0,0.0,56.0,0.0,10.0,24.0,94.0,2018.0,11.0,11,0.0,6.0
11.0,5.0,3.0,-2.0,1.0,58.0,0.0,10.0,22.0,94.0,2018.0,11.0,11,1.0,5.0
11.0,5.0,3.0,-2.0,2.0,60.0,0.0,10.0,21.0,94.0,2018.0,11.0,11,2.0,5.0
11.0,5.0,3.0,-2.0,3.0,62.0,0.0,10.0,19.0,94.0,2018.0,11.0,11,3.0,5.0
11.0,5.0,3.0,-1.0,2.0,64.0,0.0,10.0,18.0,94.0,2018.0,11.0,11,4.0,5.0
11.0,5.0,3.0,-1.0,1.0,65.0,0.0,10.0,16.0,94.0,2018.0,11.0,11,5.0,5.0
11.0,5.0,3.0,-1.0,0.0,67.0,0.0,10.0,15.0,94.0,2018.0,11.0,11,6.0,5.0
11.0,5.0,3.0,-1.0,0.0,64.0,0.0,10.0,15.0,94.0,2018.0,11.0,11,7.0,6.0
11.0,5.0,3.0,-1.0,0.0,61.0,0.0,10.0,15.0,94.0,2018.0,11.0,11,8.0,6.0
11.0,5.0,3.0,-0.0,0.0,58.0,0.0,10.0,15.0,94.0,2018.0,11.0,11,9.0,7.0
11.0,5.0,3.0,-0.0,0.0,56.0,0.0,10.0,12.0,94.0,2018.0,11.0,11,10.0,8.0
11.0,5.0,3.0,-0.0,0.0,54.0,0.0,10.0,10.0,94.0,2018.0,11.0,11,11.0,9.0
11.0,5.0,3.0,0.0,0.0,52.0,0.0,10.0,7.0,94.0,2018.0,11.0,11,12.0,9.0
11.0,5.0,3.0,0.0,0.0,52.0,0.0,10.0,8.0,94.0,2018.0,11.0,11,13.0,10.0
11.0,5.0,3.0,1.0,0.0,52.0,0.0,10.0,8.0,94.0,2018.0,11.0,11,14.0,10.0
11.0,5.0,3.0,1.0,0.0,52.0,0.0,10.0,9.0,94.0,2018.0,11.0,11,15.0,11.0
11.0,5.0,3.0,1.0,0.0,55.0,0.0,10.0,7.0,94.0,2018.0,11.0,11,16.0,10.0
11.0,5.0,3.0,2.0,0.0,57.0,0.0,10.0,6.0,94.0,2018.0,11.0,11,17.0,10.0
11.0,5.0,3.0,2.0,0.0,59.0,0.0,10.0,5.0,94.0,2018.0,11.0,11,18.0,10.0
11.0,5.0,3.0,2.0,1.0,59.0,0.0,10.0,5.0,94.0,2018.0,11.0,11,19.0,9.0
11.0,5.0,3.0,1.0,2.0,59.0,0.0,10.0,4.0,94.0,2018.0,11.0,11,20.0,9.0
11.0,5.0,3.0,1.0,4.0,59.0,0.0,10.0,4.0,94.0,2018.0,11.0,11,21.0,9.0
11.0,5.0,3.0,1.0,4.0,59.0,0.0,10.0,4.0,94.0,2018.0,11.0,11,22.0,9.0
11.0,5.0,3.0,2.0,3.0,60.0,0.0,10.0,3.0,94.0,2018.0,11.0,11,23.0,9.0
14.0,8.0,4.0,2.0,3.0,61.0,0.0,10.0,3.0,94.0,2018.0,11.0,12,0.0,9.0
14.0,8.0,4.0,2.0,5.0,62.0,0.0,10.0,4.0,94.0,2018.0,11.0,12,1.0,9.0
14.0,8.0,4.0,2.0,6.0,63.0,0.0,10.0,5.0,94.0,2018.0,11.0,12,2.0,8.0
14.0,8.0,4.0,2.0,8.0,64.0,0.0,10.0,6.0,94.0,2018.0,11.0,12,3.0,8.0
14.0,8.0,4.0,2.0,13.0,66.0,0.0,10.0,7.0,94.0,2018.0,11.0,12,4.0,8.0
14.0,8.0,4.0,3.0,18.0,68.0,0.0,10.0,8.0,94.0,2018.0,11.0,12,5.0,8.0
14.0,8.0,4.0,4.0,23.0,71.0,0.0,10.0,9.0,94.0,2018.0,11.0,12,6.0,9.0
14.0,8.0,4.0,4.0,22.0,69.0,0.0,10.0,10.0,94.0,2018.0,11.0,12,7.0,10.0
14.0,8.0,4.0,5.0,20.0,68.0,0.0,10.0,11.0,94.0,2018.0,11.0,12,8.0,11.0
14.0,8.0,4.0,6.0,19.0,66.0,0.0,10.0,12.0,94.0,2018.0,11.0,12,9.0,12.0
14.0,8.0,4.0,6.0,35.0,65.0,0.0,10.0,11.0,94.0,2018.0,11.0,12,10.0,13.0
14.0,8.0,4.0,7.0,51.0,65.0,0.0,10.0,10.0,94.0,2018.0,11.0,12,11.0,13.0
14.0,8.0,4.0,8.0,68.0,64.0,0.0,10.0,9.0,94.0,2018.0,11.0,12,12.0,14.0
14.0,8.0,4.0,9.0,79.0,71.0,0.0,10.0,10.0,94.0,2018.0,11.0,12,13.0,14.0
14.0,8.0,4.0,10.0,89.0,77.0,0.5,9.0,10.0,94.0,2018.0,11.0,12,14.0,14.0
14.0,8.0,4.0,11.0,100.0,83.0,0.7,9.0,11.0,94.0,2018.0,11.0,12,15.0,13.0
14.0,8.0,4.0,11.0,100.0,86.0,0.3,9.0,12.0,94.0,2018.0,11.0,12,16.0,14.0
14.0,8.0,4.0,12.0,100.0,89.0,0.0,10.0,13.0,94.0,2018.0,11.0,12,17.0,14.0
14.0,8.0,4.0,13.0,100.0,91.0,0.0,10.0,14.0,94.0,2018.0,11.0,12,18.0,14.0
14.0,8.0,4.0,13.0,95.0,92.0,0.0,9.0,14.0,94.0,2018.0,11.0,12,19.0,14.0
14.0,8.0,4.0,14.0,89.0,93.0,1.9,8.0,15.0,94.0,2018.0,11.0,12,20.0,15.0
14.0,8.0,4.0,14.0,84.0,95.0,2.5,7.0,15.0,94.0,2018.0,11.0,12,21.0,15.0
14.0,8.0,4.0,14.0,89.0,93.0,1.3,8.0,18.0,94.0,2018.0,11.0,12,22.0,15.0
14.0,8.0,4.0,14.0,95.0,91.0,0.0,9.0,21.0,94.0,2018.0,11.0,12,23.0,16.0
8.0,8.0,2.0,5.0,100.0,76.0,1.0,9.0,23.0,94.0,2018.0,11.0,14,0.0,9.0
8.0,8.0,2.0,5.0,100.0,75.0,0.5,7.0,24.0,94.0,2018.0,11.0,14,1.0,9.0
8.0,8.0,2.0,5.0,100.0,74.0,0.2,4.0,26.0,94.0,2018.0,11.0,14,2.0,9.0
8.0,8.0,2.0,4.0,100.0,73.0,0.3,2.0,27.0,94.0,2018.0,11.0,14,3.0,9.0
8.0,8.0,2.0,4.0,100.0,71.0,0.1,2.0,26.0,94.0,2018.0,11.0,14,4.0,9.0
8.0,8.0,2.0,3.0,100.0,70.0,0.2,2.0,24.0,94.0,2018.0,11.0,14,5.0,8.0
8.0,8.0,2.0,2.0,100.0,68.0,0.3,2.0,23.0,94.0,2018.0,11.0,14,6.0,8.0
8.0,8.0,2.0,2.0,100.0,65.0,0.2,5.0,24.0,94.0,2018.0,11.0,14,7.0,8.0
8.0,8.0,2.0,1.0,100.0,62.0,0.0,7.0,26.0,94.0,2018.0,11.0,14,8.0,8.0
8.0,8.0,2.0,1.0,100.0,59.0,0.0,10.0,27.0,94.0,2018.0,11.0,14,9.0,8.0
8.0,8.0,2.0,0.0,100.0,58.0,0.0,10.0,24.0,94.0,2018.0,11.0,14,10.0,8.0
8.0,8.0,2.0,0.0,99.0,56.0,0.0,10.0,22.0,94.0,2018.0,11.0,14,11.0,8.0
8.0,8.0,2.0,-0.0,99.0,55.0,0.0,10.0,19.0,94.0,2018.0,11.0,14,12.0,8.0
8.0,8.0,2.0,-0.0,99.0,55.0,0.0,10.0,20.0,94.0,2018.0,11.0,14,13.0,8.0
8.0,8.0,2.0,-0.0,100.0,56.0,0.0,10.0,21.0,94.0,2018.0,11.0,14,14.0,8.0
8.0,8.0,2.0,0.0,100.0,57.0,0.0,10.0,22.0,94.0,2018.0,11.0,14,15.0,8.0
8.0,8.0,2.0,0.0,99.0,57.0,0.0,10.0,22.0,94.0,2018.0,11.0,14,16.0,8.0
8.0,8.0,2.0,0.0,99.0,58.0,0.0,10.0,22.0,94.0,2018.0,11.0,14,17.0,8.0
8.0,8.0,2.0,0.0,98.0,59.0,0.0,10.0,23.0,94.0,2018.0,11.0,14,18.0,8.0
8.0,8.0,2.0,0.0,99.0,58.0,0.0,10.0,23.0,94.0,2018.0,11.0,14,19.0,8.0
8.0,8.0,2.0,0.0,99.0,58.0,0.0,10.0,24.0,94.0,2018.0,11.0,14,20.0,8.0
8.0,8.0,2.0,0.0,100.0,58.0,0.0,10.0,24.0,94.0,2018.0,11.0,14,21.0,8.0
8.0,8.0,2.0,1.0,100.0,62.0,0.0,7.0,24.0,94.0,2018.0,11.0,14,22.0,8.0
8.0,8.0,2.0,2.0,100.0,66.0,0.1,5.0,24.0,94.0,2018.0,11.0,14,23.0,8.0
17.0,9.0,3.0,4.0,100.0,70.0,0.1,2.0,24.0,94.0,2018.0,11.0,15,0.0,9.0
17.0,9.0,3.0,4.0,100.0,72.0,0.1,2.0,27.0,94.0,2018.0,11.0,15,1.0,9.0
17.0,9.0,3.0,5.0,100.0,74.0,0.1,2.0,30.0,94.0,2018.0,11.0,15,2.0,10.0
17.0,9.0,3.0,6.0,100.0,76.0,0.1,2.0,32.0,94.0,2018.0,11.0,15,3.0,10.0
17.0,9.0,3.0,7.0,100.0,79.0,0.0,4.0,33.0,94.0,2018.0,11.0,15,4.0,11.0
17.0,9.0,3.0,8.0,100.0,82.0,0.3,7.0,33.0,94.0,2018.0,11.0,15,5.0,11.0
17.0,9.0,3.0,9.0,100.0,85.0,0.4,9.0,34.0,94.0,2018.0,11.0,15,6.0,11.0
17.0,9.0,3.0,9.0,100.0,85.0,0.2,8.0,37.0,94.0,2018.0,11.0,15,7.0,11.0
17.0,9.0,3.0,9.0,100.0,86.0,1.7,8.0,40.0,94.0,2018.0,11.0,15,8.0,12.0
17.0,9.0,3.0,10.0,100.0,86.0,2.2,7.0,44.0,94.0,2018.0,11.0,15,9.0,12.0
17.0,9.0,3.0,11.0,100.0,87.0,1.1,8.0,44.0,94.0,2018.0,11.0,15,10.0,13.0
17.0,9.0,3.0,12.0,100.0,87.0,0.0,9.0,44.0,94.0,2018.0,11.0,15,11.0,14.0
17.0,9.0,3.0,13.0,100.0,88.0,0.0,10.0,44.0,94.0,2018.0,11.0,15,12.0,15.0
17.0,9.0,3.0,14.0,100.0,89.0,0.0,9.0,44.0,94.0,2018.0,11.0,15,13.0,15.0
